28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2801300287890215050100958V00957V00957V00957V00956V00956V00956V00956V00956V00957V00957V00957V00956V00956V00955V00954V00954V00954V00954V00955V00956V00956V00956V00956V
2801300288890215050104.00V04.00V04.00V04.00V04.00V09.00V092.0V00182V00253V00337V00505V00417V00380V00801V00776V00656V00455V00226V033.0V04.00V04.00V04.00V04.00V04.00V
2801300289890215050100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801400207080215050101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28014002080802150501015.0V013.0V09.00V09.00V014.0V019.0V013.0V011.0V011.0V010.0V08.00V07.00V07.00V05.00V04.00V05.00V05.00V06.00V010.0V011.0V08.00V012.0V010.0V08.00V
28014002104902150501011.0V015.0V09.00V015.0V010.0V017.0V011.0V014.0V018.0V027.0V018.0V020.0V023.0V016.0V022.0V013.0V014.0V014.0V020.0V015.0V017.0V08.00V015.0V08.00V
28014002140602150501044.0V045.0V056.0V056.0V051.0V053.0V060.0V062.0V061.0V066.0V073.0V077.0V077.0V079.0V082.0V077.0V070.0V063.0V052.0V044.0V042.0V036.0V034.0V031.0V
2801400281890215050101.70V02.00V02.60V02.80V02.40V03.00V03.40V03.90V04.50V04.60V05.90V06.40V06.40V05.70V04.90V04.30V04.20V04.10V03.50V04.10V04.00V02.30V02.70V02.90V
2801400282890215050100176V00190V00198V00173V00180V00208V00212V00219V00231V00227V00234V00238V00229V00241V00224V00243V00246V00231V00221V00234V00246V00213V00206V00189V
28014002838902150501014.8V014.4V014.8V014.2V013.4V013.6V014.6V015.5V016.0V017.6V019.0V020.5V020.2V022.1V023.1V022.9V023.2V022.7V021.3V020.1V019.2V018.5V017.7V016.7V
28014002868902150501070.0V069.0V065.0V066.0V070.0V071.0V068.0V063.0V060.0V054.0V047.0V039.0V041.0V035.0V033.0V035.0V039.0V044.0V050.0V058.0V063.0V067.0V069.0V076.0V
2801400287890215050100950V00949V00949V00949V00948V00949V00949V00949V00949V00949V00949V00949V00949V00948V00948V00947V00947V00947V00947V00948V00948V00949V00949V00949V
2801400288890215050104.00V04.00V04.00V04.00V04.00V012.0V00127V00197V00209V00418V00520V00522V00613V00874V00763V00347V00393V00243V035.0V04.00V04.00V04.00V04.00V04.00V
2801400289890215050100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801600101380215050101.00V01.00V01.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V02.00V02.00V02.00V01.00V01.00V01.00V02.00V02.00V02.00V02.00V02.00V02.00V
2801600106480215050100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600107080215050101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801600108080215050103.00V03.00V04.00V04.00V04.00V04.00V06.00V08.00V07.00V04.00V04.00V05.00V06.00V07.00V07.00V04.00V04.00V04.00V03.00V03.00V02.00V02.00V03.00V03.00V
2801600109490215050104.00V04.00V02.00V02.00V04.00V06.00V05.00V02.00V02.00V03.00V02.00V01.00V01.00V01.00V02.00V04.00V05.00V04.00V02.00V01.00V02.00V03.00V02.00V01.00V
28016001104902150501014.0V010.0V010.0V08.00V010.0V010.0V011.0V010.0V011.0V012.0V07.00V04.00V010.0V014.0V012.0V013.0V05.00V02.00V05.00V07.00V08.00V04.00V01.00V06.00V
28016001140602150501081.0V079.0V076.0V070.0V062.0V053.0V047.0V042.0V058.0V080.0V081.0V075.0V073.0V076.0V073.0V061.0V061.0V065.0V064.0V061.0V060.0V059.0V057.0V053.0V
2801600120590215050100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600130590215050100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600131590215050100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600142020215050106.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V06.10V
2801600144020215050100.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V
2801600181890215050102.70V02.10V00.60V00.10V00.50V00.60V00.40V00.10V01.30V03.30V04.00V01.40V00.30V00.10V00.10V01.90V00.80V01.30V01.30V02.70V04.00V04.10V02.00V00.10V
28016001828902150501034.0V019.0V00354V034.0V07.00V04.00V00235V00158V031.0V045.0V043.0V060.0V00170V00151V065.0V025.0V020.0V040.0V041.0V034.0V027.0V018.0V015.0V07.00V
28016001838902150501014.5V014.1V013.6V012.5V011.4V011.0V010.1V010.4V013.0V015.8V015.7V016.2V016.9V017.1V017.3V017.6V018.3V018.6V018.3V017.2V016.4V016.2V016.3V015.6V
28016001868902150501061.0V062.0V065.0V069.0V075.0V077.0V082.0V084.0V069.0V051.0V052.0V056.0V062.0V064.0V063.0V062.0V060.0V059.0V061.0V065.0V070.0V071.0V071.0V074.0V
2801600187890215050100904V00904V00904V00903V00902V00903V00902V00903V00903V00903V00903V00903V00903V00903V00903V00903V00902V00902V00902V00903V00903V00903V00903V00903V
2801600188890215050104.00V04.00V04.00V04.00V04.00V015.0V048.0V00111V00193V00302V00285V00316V00386V00253V00119V098.0V00129V00100V043.0V04.00V04.00V04.00V04.00V04.00V
2801600189890215050100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804500206480215050100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2804500207080215050101.00V01.00V01.00V01.00V02.00V03.00V03.00V03.00V05.00V04.00V03.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2804500208080215050105.00V06.00V010.0V012.0V015.0V021.0V019.0V017.0V016.0V013.0V014.0V010.0V05.00V04.00V03.00V02.00V03.00V03.00V05.00V07.00V08.00V015.0V013.0V011.0V
28045002104902150501012.0V014.0V05.00V08.00V08.00V020.0V014.0V012.0V015.0V019.0V016.0V016.0V013.0V015.0V014.0V012.0V09.00V07.00V08.00V014.0V013.0V015.0V014.0V010.0V
28045002140602150501077.0V072.0V066.0V062.0V055.0V046.0V041.0V040.0V043.0V053.0V061.0V072.0V073.0V076.0V061.0V061.0V063.0V064.0V058.0V053.0V051.0V039.0V036.0V043.0V
2804500281890215050100.70V00.80V00.60V00.50V00.50V00.40V00.30V00.40V00.50V00.80V01.10V01.30V01.50V01.50V02.20V02.40V02.00V01.60V01.30V01.10V00.80V00.60V00.60V00.30V
2804500282890215050100286V00273V00257V00232V00229V00205V00183V00227V00197V00210V00219V00276V00302V00281V00287V00288V00279V00291V00285V00281V00275V00253V00263V00259V
28045002838902150501015.8V015.4V014.5V013.9V013.2V012.7V011.3V012.2V014.0V015.0V017.0V018.3V019.1V020.5V021.1V021.3V021.1V020.9V019.5V018.6V018.3V017.5V016.5V016.5V
28045002868902150501061.0V062.0V065.0V066.0V070.0V073.0V081.0V079.0V074.0V070.0V064.0V053.0V054.0V052.0V054.0V052.0V054.0V054.0V060.0V064.0V065.0V070.0V074.0V073.0V
2804500287890215050100915V00915V00915V00914V00913V00913V00913V00913V00914V00914V00915V00914V00914V00914V00913V00912V00912V00912V00913V00913V00914V00914V00914V00914V
2804500288890215050102.00V02.00V02.00V02.00V02.00V013.0V052.0V00189V00323V00423V00448V00482V00571V00696V00678V00616V00378V00173V056.0V05.00V02.00V02.00V02.00V02.00V
2804500289890215050100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2804700201380215050101.00V02.00V02.00V01.00V02.00V01.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V02.00V02.00V
2804700207080215050106.00V013.0V05.00V01.00V02.00V027.0V014.0V04.00V04.00V02.00V03.00V05.00V05.00V03.00V04.00V03.00V04.00V08.00V07.00V08.00V03.00V09.00V05.00V029.0V
28047002080802150501052.0V067.0V035.0V024.0V022.0V066.0V050.0V026.0V023.0V011.0V016.0V022.0V019.0V011.0V013.0V012.0V013.0V033.0V034.0V040.0V027.0V041.0V037.0V051.0V
2804700209490215050109.00V016.0V08.00V06.00V07.00V06.00V08.00V012.0V010.0V010.0V012.0V017.0V014.0V012.0V015.0V09.00V010.0V010.0V07.00V07.00V014.0V09.00V011.0V09.00V
28047002140602150501025.0V012.0V029.0V031.0V031.0V011.0V019.0V043.0V045.0V047.0V056.0V055.0V057.0V053.0V048.0V051.0V050.0V037.0V034.0V025.0V028.0V018.0V016.0V08.00V
2804700220590215050105.40V07.80V06.30V05.00V08.20V04.50V06.70V05.50V02.60V02.40V01.40V02.40V02.10V00.80V00.50V00.40V00.20V02.30V02.70V03.20V02.40V04.00V04.50V05.50V
2804700230590215050101.90V02.20V01.80V01.10V01.80V01.10V01.90V01.50V01.00V00.90V00.70V01.00V01.10V00.50V00.30V00.30V00.20V01.30V01.50V01.70V01.40V02.10V02.00V02.00V
2804700231590215050102.20V04.80V02.90V01.80V03.70V01.20V02.70V01.80V01.30V01.40V00.50V01.40V00.70V00.40V00.20V00.10V00.10V00.40V01.20V00.90V00.70V00.70V01.10V00.80V
2804700242020215050105.90V05.90V05.90V06.30V06.70V06.10V06.20V06.30V06.10V05.90V05.80V05.60V05.60V05.50V05.50V05.50V05.50V05.50V05.50V05.60V05.60V05.60V05.80V06.10V
2804700244020215050100.20V00.20V00.20V00.20V00.20V00.10V00.20V00.20V00.20V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2804700281890215050101.10V00.70V01.00V01.10V01.00V00.90V00.80V01.60V02.00V03.00V02.50V03.10V02.50V02.50V03.10V02.90V02.50V02.30V02.10V01.50V00.90V01.00V01.00V00.60V
2804700282890215050100307V019.0V00298V00247V00323V02.00V00271V00223V00213V00193V00327V055.0V070.0V028.0V067.0V071.0V075.0V033.0V033.0V033.0V034.0V00343V00245V023.0V
